[15:34:31] [main/WARN]: Ambiguity between arguments [teleport, destination] and [teleport, targets] with inputs: [Player, 0123, @e, dd12be42-52a9-4a91-a8a1-11c01849e498]
[15:34:31] [main/WARN]: Ambiguity between arguments [teleport, location] and [teleport, destination] with inputs: [0.1 -0.5 .9, 0 0 0]
[15:34:31] [main/WARN]: Ambiguity between arguments [teleport, location] and [teleport, targets] with inputs: [0.1 -0.5 .9, 0 0 0]
[15:34:31] [main/WARN]: Ambiguity between arguments [teleport, targets] and [teleport, destination] with inputs: [Player, 0123, dd12be42-52a9-4a91-a8a1-11c01849e498]
[15:34:31] [main/WARN]: Ambiguity between arguments [teleport, targets, location] and [teleport, targets, destination] with inputs: [0.1 -0.5 .9, 0 0 0]
[15:34:31] [Server thread/INFO]: Starting minecraft server version 1.14
[15:34:31] [Server thread/INFO]: Loading properties
[15:34:31] [Server thread/INFO]: Default game type: SURVIVAL
[15:34:31] [Server thread/INFO]: Generating keypair
[15:34:32] [Server thread/INFO]: Starting Minecraft server on *:25565
[15:34:32] [Server thread/INFO]: Using epoll channel type
[15:34:32] [Server thread/INFO]: Preparing level "world"
[15:34:32] [Server thread/INFO]: Reloading ResourceManager: Default
[15:34:35] [Server thread/INFO]: Loaded 6 recipes
[15:34:37] [Server thread/INFO]: Loaded 811 advancements
[15:34:41] [Server thread/INFO]: Preparing start region for dimension minecraft:overworld
[15:35:42] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[15:35:42] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[15:35:42] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[15:35:42] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[15:35:42] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[15:35:42] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[15:35:42] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[15:35:42] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[15:35:42] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[15:35:42] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[15:35:42] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[15:35:42] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[15:35:42] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[15:35:42] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[15:35:42] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[15:35:42] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[15:35:42] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[15:35:42] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[15:35:42] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[15:35:42] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[15:35:42] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[15:35:42] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[15:35:42] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[15:35:42] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[15:35:42] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[15:35:42] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[15:35:42] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[15:35:42] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[15:35:42] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[15:35:42] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[15:35:42] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[15:35:42] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[15:35:42] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[15:35:42] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[15:35:42] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[15:35:42] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[15:35:42] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[15:35:42] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[15:35:42] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[15:35:42] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[15:35:42] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[15:35:42] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[15:35:42] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[15:35:42] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[15:35:42] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[15:35:42] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[15:35:42] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[15:35:42] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[15:35:42] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[15:35:42] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[15:35:42] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[15:35:42] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[15:35:42] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[15:35:42] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[15:35:42] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[15:35:42] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[15:35:42] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[15:35:42] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[15:35:42] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[15:35:42] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[15:35:42] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[15:35:42] [Server-Worker-1/INFO]: Preparing spawn area: 0%
